# x_cm Potential_V
3.048859565110945973e-06 2.590130059516696281e+00
3.110137501380348779e-06 2.589465450165748361e+00
3.172674573326520308e-06 2.588784527961029980e+00
3.236496653600352692e-06 2.588086960223263233e+00
3.301630146482551446e-06 2.587372409932473083e+00
3.368101998807535204e-06 2.586640535675440500e+00
3.435939711111799619e-06 2.585890991585154453e+00
3.505171349011357080e-06 2.585123427271706298e+00
3.575825554812960072e-06 2.584337487744094553e+00
3.647931559363911261e-06 2.583532813322410693e+00
3.721519194145361259e-06 2.582709039539908158e+00
3.796618903614101279e-06 2.581865797034480270e+00
3.873261757797952381e-06 2.581002711429102536e+00
3.951479465149965207e-06 2.580119403200830330e+00
4.031304385666745344e-06 2.579215487537979801e+00
4.112769544276335487e-06 2.578290574185165607e+00
4.195908644501191454e-06 2.577344267275916145e+00
4.280756082401900497e-06 2.576376165152632680e+00
4.367346960807418677e-06 2.575385860173717401e+00
4.455717103837708237e-06 2.574372938507747843e+00
4.545903071724783844e-06 2.573336979914638611e+00
4.637942175938306134e-06 2.572277557513789059e+00
4.731872494621969438e-06 2.571194237539274230e+00
4.827732888347077930e-06 2.570086579082215383e+00
4.925563016189825586e-06 2.568954133820503305e+00
5.025403352138931692e-06 2.567796445736144406e+00
5.127295201840416643e-06 2.566613050820529374e+00
5.231280719686451849e-06 2.565403476768015611e+00
5.337402926255351372e-06 2.564167242658247137e+00
5.445705726109912721e-06 2.562903858627712417e+00
5.556233925961486138e-06 2.561612825531081050e+00
5.669033253207269474e-06 2.560293634592912593e+00
5.784150374848514629e-06 2.558945767050376130e+00
5.901632916797456039e-06 2.557568693787655612e+00
6.021529483580964843e-06 2.556161874962741720e+00
6.143889678449066154e-06 2.554724759627354569e+00
6.268764123896649172e-06 2.553256785340736190e+00
6.396204482606854015e-06 2.551757377778082869e+00
6.526263478824802950e-06 2.550225950334380709e+00
6.658994920170517367e-06 2.548661903724403821e+00
6.794453719900048165e-06 2.547064625579626984e+00
6.932695919624020865e-06 2.545433490042778413e+00
7.073778712493006848e-06 2.543767857360733853e+00
7.217760466859300641e-06 2.542067073476410588e+00
7.364700750424901741e-06 2.540330469620285747e+00
7.514660354885686653e-06 2.538557361902098464e+00
7.667701321081967701e-06 2.536747050903249701e+00
7.823886964665843600e-06 2.534898821270339386e+00
7.983281902295963548e-06 2.533011941310215231e+00
8.145952078370537563e-06 2.531085662586829876e+00
8.311964792309657851e-06 2.529119219520127970e+00
8.481388726398211990e-06 2.527111828987092412e+00
8.654293974200914352e-06 2.525062689925011927e+00
8.830752069561205803e-06 2.522970982936923789e+00
9.010836016196024150e-06 2.520835869899123338e+00
9.194620317898681555e-06 2.518656493570523569e+00
9.382181009362352829e-06 2.516431977203589021e+00
9.573595687636920749e-06 2.514161424156466484e+00
9.768943544232199004e-06 2.511843917505873325e+00
9.968305397880804060e-06 2.509478519660224283e+00
1.000000000000000082e-05 2.509102446101311834e+00
1.020000000000000060e-05 2.506729202244637467e+00
1.040307692307692395e-05 2.504319238118180468e+00
1.060927810650887727e-05 2.501872010766406085e+00
1.081865161583978298e-05 2.499386966933919929e+00
1.103124625608347215e-05 2.496863543037767919e+00
1.124711158310014010e-05 2.494301165134874765e+00
1.146629791514783433e-05 2.491699248884253759e+00
1.168885634461164677e-05 2.489057199503677431e+00
1.191483874991336463e-05 2.486374411720530642e+00
1.214429780760433949e-05 2.483650269716622727e+00
1.237728700464440566e-05 2.480884147066769074e+00
1.261386065086970361e-05 2.478075406670995573e+00
1.285407389165231420e-05 2.475223400680261587e+00
1.309798272075465786e-05 2.472327470415621509e+00
1.334564399338165228e-05 2.469386946280790252e+00
1.359711543943367791e-05 2.466401147668103366e+00
1.385245567696342595e-05 2.463369382857886425e+00
1.411172422583978661e-05 2.460290948911281195e+00
1.437498152162193712e-05 2.457165131556589444e+00
1.464228892964689044e-05 2.453991205069222747e+00
1.491370875933376586e-05 2.450768432145353337e+00
1.518930427870813061e-05 2.447496063769385444e+00
1.546913972914979382e-05 2.444173339075362605e+00
1.575328034036748340e-05 2.440799485202452601e+00
1.604179234560390734e-05 2.437373717144638352e+00
1.633474299707473676e-05 2.433895237594761785e+00
1.663220058164511730e-05 2.430363236783054770e+00
1.693423443674734944e-05 2.426776892310309020e+00
1.724091496654346295e-05 2.423135368975807058e+00
1.755231365833643964e-05 2.419437818600163936e+00
